created_at,text
Fri Jul 03 16:20:20 +0000 2020,. @poobear and I had a vision for this project and made it a reality. Thank you God for opening the right doors! Thank you to everyone else who made this project a reality! @joshgudwin @scooterbraun @allisonjamiekaye @djtayjames @harv https://t.co/FPb0Kxvt6v
Sat Jun 27 23:00:30 +0000 2020,RT @GlblCtzn: .@justinbieber and @QuavoStuntin are taking a stand with us to help everyone everywhere get the health care they need to beat…
Sat Jun 27 19:25:23 +0000 2020,Thanks for answering the call @JustinTrudeau . I’m a proud Canadian. Look forward to performance today @GlblCtzn https://t.co/RyTSipu7W1
Sat Jun 27 17:59:02 +0000 2020,#GlobalGoalUnite concert 2pm est @GlblCtzn https://t.co/3KTIV9xgxy https://t.co/eKerSJgBNp
Fri Jun 26 14:36:14 +0000 2020,My big brother @usher just dropped #Icry  - Proceeds from the record will be donated to  @lisc_hq in support of Black-owned businesses.  Also watch his performance Sat during @glblctzn’s  #GlobalGoalUnite concert. #usher #icry #blacklivesmatter https://t.co/woXFblMwLL
Fri Jun 26 14:34:32 +0000 2020,"RT @Usher: Listen at https://t.co/mEga8wKcoJ
#icry #BLM #BlackLivesMatter https://t.co/apZ7cPRArJ"
Fri Jun 26 14:34:12 +0000 2020,Happy birthday @ArianaGrande
Tue Jun 23 06:18:27 +0000 2020,"RT @chartdata: .@justinbieber becomes the youngest male act to earn at least seven #1’s on the Pop Songs airplay chart as ""Intentions"" with…"
Tue Jun 23 00:16:41 +0000 2020,"I’m joining the #GlobalGoalUnite for Our Future concert on June 27th to combat the disproportionate impact COVID-19 has on communities of color and call on world leaders to make testing, treatments &amp; vaccines available to everyone everywhere https://t.co/3KTIV9xgxy https://t.co/vjRwcLNEBK"
Mon Jun 22 05:42:09 +0000 2020,"RT @colesprouse: False accusations do tremendous damage to victims of actual assault. Furthermore, I would never seek to silence anybody. I…"
Mon Jun 22 00:59:48 +0000 2020,Every claim of sexual abuse should be taken very seriously and this is why my response was needed. However this story is factually impossible and that is why I will be working with twitter and authorities to take legal action.
Mon Jun 22 00:57:13 +0000 2020,I won’t be using mike lowery anymore as an alias
Mon Jun 22 00:56:50 +0000 2020,On march 10th selena left for work and I stayed at the Westin as the receipts clearly showed with my friends nick and john before I left town. Once again not at the four seasons. We booked it for a couple days to stay for the defjam show but I bailed on the 11th to head back home https://t.co/Ku15SCYz91
Mon Jun 22 00:45:47 +0000 2020,The Pics I showed of me and Selena march 9 in Austin  should make it clear that we were together that night and went from the venue to our Airbnb and never went to the four seasons. This is our airbnb receipt where we crashed with our friends https://t.co/4ZDIqjeCIQ
Mon Jun 22 00:34:27 +0000 2020,We have also confirmed with the Four Seasons regional manager that I was never on property on the 9th of March 2014 and never a guest on the 9th or the 10th and I welcome all press to inquire with them if needed or wanted.
Mon Jun 22 00:33:09 +0000 2020,Furthermore I stayed with Selena and our friends at an airbnb on the 9th and on the 10th stayed at a Westin because our hotel reservation at LÀ Quinta and not the four seasons was messed up. Here are the receipts for the hotel on the 10th https://t.co/hLNHnvJ6XS
Mon Jun 22 00:31:10 +0000 2020,However I never stayed at the four seasons on the 9th or the 10th. This person put another tweet up earlier saying they saw me at the restaurant the following night not the hotel https://t.co/K4WHNRlC6k
Mon Jun 22 00:30:07 +0000 2020,The other reason this story might say I was staying at the four seasons was because a tweet from 2014 on March 10th not the the 9th says they saw me there . This is that tweet https://t.co/piTHxjajvi
Mon Jun 22 00:29:02 +0000 2020,Here is article that shows we didn’t arrive in Austin that night from Selena’s show in Houston until late in the night. https://t.co/BsxCoMasqa
Mon Jun 22 00:27:48 +0000 2020,These photos clearly show me on stage with my assistant sidestage and the other with both of us in the streets of Austin afterwards on March 9 2014 https://t.co/WlC6KAvJOZ
Mon Jun 22 00:26:37 +0000 2020,This article from 2014 talks about Selena being there with me. https://t.co/Jr2AE0brY2
Mon Jun 22 00:25:55 +0000 2020,As her story told I did surprise a crowd in Austin at Sxsw where I appeared on stage with my then assistant side stage and sang a few songs. What this person did not know was that I attended that show with my then gf Selena Gomez
Mon Jun 22 00:24:27 +0000 2020,"In the past 24 hours a new Twitter appeared that told a story of myself involved with sexual abuse on March 9, 2014 in Austin Texas at the Four seasons hotel. I want to be clear. There is no truth to this story. In fact as I will soon show I was never present at that location."
Mon Jun 22 00:19:50 +0000 2020,Rumors are rumors but sexual abuse is something I don’t take lightly. I wanted to speak out right away but out of respect to so many victims who deal with these issues daily I wanted to make sure I gathered the facts before I made any statement.
Mon Jun 22 00:15:42 +0000 2020,I don’t normally address things as I have dealt with random accusations my entire career but after talking with my wife and team I have decided to speak up on an issue tonight.
Thu Jun 18 22:39:24 +0000 2020,"RT @MarchOnBallots: Like this tweet to get a link to register to vote. 

We'll remind you Monday and keep you posted about the #MOBBthevote…"
Thu Jun 18 16:08:27 +0000 2020,"This is an action that can make change! In 2020, it’s time to take back the power. Join us as we work to register voters across the nation #MarchOnBallotBoxes https://t.co/BKM7fS2ElP https://t.co/8rWQOr4zwl"
Tue Jun 16 16:22:46 +0000 2020,@JDBAnalytics @ArianaGrande @DanAndShay @QuavoStuntin @scooterbraun Thanks
Tue Jun 16 16:18:19 +0000 2020,"RT @JDBAnalytics: .@justinbieber is the ONLY Artist with FOUR Top 5 hits in the Billboard Hot 100, in 2020.

#1. Stuck with U (with @Ariana…"
Tue Jun 16 16:17:51 +0000 2020,Wild https://t.co/NBGbB1Cft5
Mon Jun 15 22:08:47 +0000 2020,"RT @chartdata: Billboard Hot 100: #5(+3) Intentions, @justinbieber Feat. @QuavoStuntin [18 weeks]. *new peak*"
Mon Jun 15 22:08:43 +0000 2020,"RT @chartsdrew: .@JustinBieber ties @Drake as the artist with the most top 5 hits on the Billboard Hot 100 in the past decade. 

— Both hav…"
Mon Jun 15 18:55:15 +0000 2020,"RT @chartdata: .@justinbieber and @QuavoStuntin's ""Intentions"" has reached #1 on this week’s building US Pop radio chart (Mediabase)."
Mon Jun 15 18:55:05 +0000 2020,8 years since Believe . Thanks https://t.co/DkZa4Oq3D3
Mon Jun 15 18:54:35 +0000 2020,Congrats class of 2020...know it wasn’t the way you expected it but this one's for you. Have fun.  https://t.co/0ncd8sCxmV
Thu Jun 11 19:23:21 +0000 2020,Canada. We gotta stand up for each other at home and people around the world. Join me and @GlblCtznCAN to help ask @JustinTrudeau to commit to fight coronavirus worldwide with other nations. Take action here: https://t.co/2DwlvRsK3y #GlobalGoalUnite⭕️
Thu Jun 11 19:09:34 +0000 2020,Changes or Forever? Or....
Thu Jun 11 11:41:54 +0000 2020,RT @justinbieber: https://t.co/U6ocyMMKm6
Thu Jun 11 11:41:07 +0000 2020,Thank you @Usher
Thu Jun 11 11:40:06 +0000 2020,RT @MsLaToshaBrown: https://t.co/4EVXfKccoq via @nylonmag
Thu Jun 11 11:39:53 +0000 2020,RT @MsLaToshaBrown: Last night pop sensation @justinbieber invited @BlackVotersMtr to take over his Instagram with manger @scooterbraun!! J…
Thu Jun 11 11:38:43 +0000 2020,RT @angela_rye: Voter suppression is REAL! This is UNACCEPTABLE #Georgia. One of my interns shared his experience today at the polls!! http…
Thu Jun 11 11:33:48 +0000 2020,"RT @chartdata: .@justinbieber and @QuavoStuntin's ""Intentions"" has now sold over 2 million units in the US."
Thu Jun 11 11:33:41 +0000 2020,"RT @chartdata: .@justinbieber and @QuavoStuntin's ""Intentions"" has now surpassed 400 million streams on Spotify."
Thu Jun 11 11:33:31 +0000 2020,This little guy can dance. Facts https://t.co/3vl19JqJbe
Thu Jun 11 11:31:35 +0000 2020,"RT @JBieberCharts: .@justinbieber &amp; @QuavoStuntin's “Intentions” is now eligible for 2x Platinum in the US for selling over 2,000,000 units…"
Wed Jun 10 04:00:33 +0000 2020,RT @BlackVotersMtr: Thank you for helping spread our message!
Wed Jun 10 03:51:20 +0000 2020,Justin does not have reception where he is so he has asked us to post this tonight so his platform can be used to expose live voter suppression in Georgia tonight . @MsLaToshaBrown @BlackVotersMtr WATCH - https://t.co/Vu7amSxGOF
Sat Jun 06 23:49:53 +0000 2020,https://t.co/U6ocyMMKm6
Tue Jun 02 16:25:38 +0000 2020,https://t.co/Ust1E366LK
Tue Jun 02 16:25:32 +0000 2020,https://t.co/jLyOzKD3GG
Tue Jun 02 16:25:29 +0000 2020,https://t.co/6rMshM23mu
Sat May 30 03:42:50 +0000 2020,Thank you @angela_rye for the conversation
Sat May 30 01:50:55 +0000 2020,Live https://t.co/WUjCacT9ae
Thu May 28 14:35:45 +0000 2020,"RT @GlblCtzn: Today we are excited to announce the launch of Global Goal: Unite For Our Future, a new campaign calling on leaders to step u…"
Sun May 24 03:37:09 +0000 2020,In these streets https://t.co/Z1TtKLg2Q3
Fri May 22 16:54:54 +0000 2020,Make your own #StuckwithU merch https://t.co/FuTHy6WJwb https://t.co/WOc3B5Gizy
Wed May 20 02:33:26 +0000 2020,Thank you India https://t.co/ziYTX5Edc3
Tue May 19 01:56:46 +0000 2020,Honored to support this cause https://t.co/CwCqqilCHs
Tue May 19 01:55:35 +0000 2020,"RT @chartdata: .@justinbieber earns his sixth #1 single on the Hot 100 with ""stuck with u""."
Tue May 19 01:55:29 +0000 2020,RT @billboardcharts: .@ArianaGrande and @justinbieber tie @MariahCarey and @Drake as the artists with the most No. 1 debuts in #Hot100 hist…
Tue May 19 01:54:45 +0000 2020,"RT @chartdata: Billboard Hot 100: #1(new) stuck with u, @ArianaGrande &amp; @justinbieber."
Fri May 15 17:25:30 +0000 2020,I remember performing at Capital's Summertime Ball in 2012. Tune in to #BestOfCapitalSTB Saturday https://t.co/OtiITPi3j1
Fri May 15 17:24:30 +0000 2020,The newest @liquidiv limited edition flavor is inspired by #Yummy https://t.co/eWSe9LwJJz https://t.co/EUWisOIQgG
