created_at,text
Sat Jul 04 18:04:34 +0000 2020,There’s many ways to celebrate the #FourthOfJuly One way is celebrating the stories of the incredible men and women who protect our freedoms every day. So proud of orlandobloom for portraying a real hero. Check out… https://t.co/Kb0pbp23IT
Sat Jul 04 16:29:50 +0000 2020,bb you’re a firework and also #BlackLivesMatter
Fri Jul 03 19:44:14 +0000 2020,when I get my smile back... it’s over for you hoes
Thu Jul 02 04:39:56 +0000 2020,Thank you friend 😍♥️ https://t.co/47XFGvxcb9
Wed Jul 01 18:06:55 +0000 2020,Thought it was appropriate to bring it back to my roots for this one 🌱 Acoustic #Daisies is out now 🌼 https://t.co/ZcsklYSwNG https://t.co/Vp6tFJQ1jy
Wed Jul 01 05:46:38 +0000 2020,The Moore the merrier ♥️🤗 https://t.co/UNKzQywU7V
Wed Jul 01 05:39:20 +0000 2020,"@PerrySouzaa love him, his strength makes me smile ♥️"
Tue Jun 30 23:13:53 +0000 2020,Ignite the (disco) light &amp; let it shine for your 4th of July lewk 🎆🎇 dont forget that 10% from the sale of every shoe and handbag from the @kpcollections website will go to @PointFoundation to support their efforts in empowering more BIPOC LGBTQ+ students #shoesdaytuesday https://t.co/N1qwOeRJT3
Tue Jun 30 07:49:40 +0000 2020,People that say they don’t pick their nose are straight up LIARS
Sat Jun 27 03:42:52 +0000 2020,these the deep deep trax 😛 https://t.co/N0tNL1fpKZ
Sat Jun 27 03:34:08 +0000 2020,it can my angel https://t.co/wlhrYaKwcn
Sat Jun 27 03:33:22 +0000 2020,RT @katycatbrit: #CANTCANCELPRIDE @katyperry 🏳️‍🌈 #daisies https://t.co/JxbetcOsx2
Sat Jun 27 01:01:46 +0000 2020,Live!!! https://t.co/UKo4HmZbnF
Fri Jun 26 05:15:16 +0000 2020,ICYMI #CANTCANCELPRIDE🌈 https://t.co/qOzirmv74V https://t.co/xfTvvXcPL4
Thu Jun 25 13:21:13 +0000 2020,"Lots of things are cancelled (rightfully so, trust!) but u #CANTCANCELPRIDE &amp; u cant cancel dance remixes w/ some of ya fav songs okur💅🏻Grab ya hairbrush (aka 🎤) mop (aka dance partner) &amp; join me, @iHeartRadio and @ProcterGamble tonight at 9pm ET 🌈 https://t.co/3oBCgVtEDW https://t.co/McxMEiECSD"
