created_at,text
Fri Jun 26 20:05:20 +0000 2020,RT @papermagazine: GIRLS! GAYS! GAGA! We raised over 75K for the @MPJInstitute at our @reachclubq #Chromatica party. Thank you to all the l…
Fri Jun 26 14:00:25 +0000 2020,"If you've purchased a ticket already, you'll find all of the new information in your email inbox. I can't wait to see you there! Keep dancing at home in the meantime 😘"
Fri Jun 26 14:00:24 +0000 2020,"The Chromatica Ball is officially moving to Summer 2021! We've been working hard to figure out the safest and soonest way to bring this show to you, but most importantly want everyone to be healthy and able to dance together at the shows as we always have. https://t.co/clKcv2tnKA"
Thu Jun 25 20:38:19 +0000 2020,"I've welcomed you into my world of Chromatica &amp; now I want to see what Chromatica looks like through your eyes. Use your favorite @Adobe creative app and design your Chromatica. You could win $10,000 and a copy of your work signed by me 🎨 #LadyGagaxAdobe https://t.co/iqAbqBqAdh https://t.co/sxIBxhYM3V"
Thu Jun 25 04:30:11 +0000 2020,Thanks for partying at our #Fundrager for @MPJInstitute! Please donate: https://t.co/EXs1lHwDsd Thank u @papermagazine @reachclubq https://t.co/007AznoogY
Thu Jun 25 03:46:55 +0000 2020,Is me #ClubQuarantine #Chromatica https://t.co/5lbfGpd4Eb
Wed Jun 24 17:03:52 +0000 2020,RT @papermagazine: CITIZENS OF CHROMATICA. RISE UP. Tonight and tonight ONLY we are throwing @ladygaga's official #Chromatica Fundrager. Al…
Mon Jun 22 19:15:29 +0000 2020,Change in the music industry begins now. @bma_coalition https://t.co/XNxb2DGkBP
Fri Jun 19 23:12:48 +0000 2020,Taking the day to reflect on Juneteenth in the spirit of celebrating and making more progress. Sending my love to the Black community today as we rest upon an anniversary that is both significant and heartbreaking. We have to do more. There must be more change.
Tue Jun 16 19:21:45 +0000 2020,Shop the #SourCandy collection https://t.co/aozwdfw8ry https://t.co/a4uua4CC3E
Tue Jun 16 19:21:23 +0000 2020,🍬 #SourCandy lyric video out now 🍬 https://t.co/UhilG35ieO
Sun Jun 14 03:25:57 +0000 2020,What is happening in America right now is appalling and beyond inflammatory. I wish for everyone as much peace as possible while we witness the rotten fruits of prejudice.
Sat Jun 13 20:23:51 +0000 2020,"RT @blackfutureslab: It's LIT! Our Principal, @aliciagarza, is taking over @ladygaga's Instagram page today! Head over to Lady Gaga's IG pa…"
Mon Jun 08 17:14:39 +0000 2020,Congratulations to the class of 2020. https://t.co/FANc3jqWqb
