created_at,text
Mon Jul 27 04:06:51 +0000 2020,Best wishes to Maharashtra CM Shri Uddhav Thackeray Ji on his birthday. I pray for Uddhav Ji’s long and healthy life. @OfficeofUT
Mon Jul 27 04:04:49 +0000 2020,"Greetings to all @crpfindia personnel on the 82nd Raising Day of this outstanding Force. CRPF is at the forefront of keeping our nation safe. The courage and professionalism of this force are widely admired. 

May the CRPF achieve even greater heights in the coming years."
Sun Jul 26 12:13:49 +0000 2020,"At 4:30 PM on Monday, 27th July, high-throughput COVID-19 testing facilities will be launched. 

These high-throughput testing facilities being set up in Noida, Mumbai and Kolkata will help in further ramping up our testing capacity. 

https://t.co/nvxM0MToua"
Sun Jul 26 10:06:01 +0000 2020,"Youngsters like Kaniga and her sister personify the spirit of New India, where success is not merely determined by the family one is born in, the school/ college one studied, the big city one lives in. 

Hardwork and perseverance gives results. India is changing. #MannKiBaat https://t.co/orEEFzPdfA"
Sun Jul 26 10:02:04 +0000 2020,"Mathematics, his mischievous brother and writing make Usman happy.

All mathematics lovers like Usman should consider Vedic Maths classes…I am sure it would be a great learning experience. #MannKiBaat https://t.co/JOY9bfPaXm"
Sun Jul 26 10:00:00 +0000 2020,"Vinayak’s secret to success is hardwork and proper time management. 

He is also a very lucky person because he is not on social media yet. :) #MannKiBaat https://t.co/hseiHiULQy"
Sun Jul 26 09:59:04 +0000 2020,"Meet Kritika from Haryana…

She aspires to become a doctor. Apart from studies, she enjoys basketball.

She is also very proud of her Mother. #MannKiBaat https://t.co/yhBNeQkfor"
Sun Jul 26 09:57:43 +0000 2020,"A special oath-taking in Suriname, thousands of miles away from India…

India congratulates President Chan Santokhi and wishes him the very best for his Presidential term. We are very proud of the long-standing and deep-rooted cultural linkages with Suriname. #MannKiBaat https://t.co/t6PS7iKC5o"
Sun Jul 26 09:55:11 +0000 2020,"India will always remember how our rural areas have shown remarkable fighting spirit in the battle against COVID-19.

Here are some efforts from Jammu and Kashmir that are outstanding. #MannKiBaat https://t.co/ocr1tMvrRc"
Sun Jul 26 09:54:22 +0000 2020,"Madhubani art themed masks.

Bamboo products from the Northeast. 

Lemongrass farming in Jharkhand.

Fruit cultivation in Kutch and Ladakh.

India is full of exceptional people doing exceptional things. #MannKiBaat https://t.co/EQIi6H9L1j"
Sun Jul 26 09:52:31 +0000 2020,"There is no question of complacency or carelessness when it comes to the COVID-19 global pandemic. 

Wear your mask.

Follow social distancing.

Remember ‘Do Gaj Ki Doori.’ #MannKiBaat https://t.co/7hOBVJOdAL"
Sun Jul 26 09:50:50 +0000 2020,"Years ago, Mahatma Gandhi gave us a Talisman.

In 1999 after Kargil, beloved Atal Ji gave us a Mantra which is extremely relevant today. #MannKiBaat https://t.co/vInbxQBT7C"
Sun Jul 26 09:48:50 +0000 2020,"We saw in Kargil that while India always stands for harmony, we had also given a befitting reply to those who vitiated the spirit of peace.

I thank all those who have highlighted #CourageInKargil…the valour of our forces which makes us proud. #MannKiBaat https://t.co/rYRh54mnRa"
Sun Jul 26 06:37:39 +0000 2020,"Today, as we mark #6YearsofMyGov, I appreciate all those across India who have enriched @mygovindia by their active participation. 

MyGov has emerged as a noteworthy forum that celebrates participative governance. 

Do keep contributing! https://t.co/Ef3Ai8LLra"
Sun Jul 26 05:30:19 +0000 2020,Tune in to this month’s #MannKiBaat. https://t.co/0PPisEWaHG
Sun Jul 26 04:58:43 +0000 2020,India remains eternally grateful to our soldiers for their bravery. #CourageInKargil https://t.co/BCyl5ZMvzx
