created_at,text
Tue Jul 07 02:46:02 +0000 2020,“President Trump champions American greatness in his Mount Rushmore speech.” @seanhannity @FoxNews
Tue Jul 07 02:32:35 +0000 2020,"The highly respected Henry Ford Health System just reported, based on a large sampling, that HYDROXYCHLOROQUINE cut the death rate in certain sick patients very significantly. The Dems disparaged it for political reasons (me!). Disgraceful. Act now @US_FDA @TuckerCarlson @FoxNews"
Tue Jul 07 02:00:12 +0000 2020,"Wall is moving fast in Texas, Arizona, New Mexico and California. Great numbers at the Southern Border. Dems want people to just flow in. They want very dangerous open Borders! https://t.co/gGuYzpTa9t"
Mon Jul 06 23:40:03 +0000 2020,https://t.co/0k0lEIZYJx https://t.co/MXdWcCx4JD
Mon Jul 06 23:18:06 +0000 2020,https://t.co/A6FmrLBohO
Mon Jul 06 20:17:46 +0000 2020,"Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39%, and that we now have the lowest Fatality (Mortality) Rate in the World. They just can’t stand that we are doing so well for our Country!"
Mon Jul 06 20:11:42 +0000 2020,"Corrupt Joe Biden and the Democrats don’t want to open schools in the Fall for political reasons, not for health reasons! They think it will help them in November. Wrong, the people get it!"
Mon Jul 06 19:50:30 +0000 2020,https://t.co/UofUgsWXXv https://t.co/DXr6rPYi6m
Mon Jul 06 18:44:09 +0000 2020,"The Democrats would not have BANNED travel from heavily infected China, especially so early, therefore, far more people would have died. Corrupt Joe Biden now admits this!!!"
Mon Jul 06 18:40:10 +0000 2020,SCHOOLS MUST OPEN IN THE FALL!!!
Mon Jul 06 18:36:59 +0000 2020,"...of 2,541 patients hospitalized between March 10 and May 2, 2020 across the system’s six hospitals, the study found 13% of those treated with hydroxychloroquine alone died compared to 26.4% not treated with hydroxychloroquine.” @HenryFordNews"
Mon Jul 06 18:36:59 +0000 2020,"“Treatment with hydroxychloroquine cut the death rate significantly in sick patients hospitalized with COVID-19 – and without heart-related side-effects, according to a new study published by Henry Ford Health System. In a large-scale retrospective analysis..."
Mon Jul 06 18:36:50 +0000 2020,"BREAKING NEWS: The Mortality Rate for the China Virus in the U.S. is just about the LOWEST IN THE WORLD! Also, Deaths in the U.S. are way down, a tenfold decrease since the Pandemic height (and, our Economy is coming back strong!)."
Mon Jul 06 18:24:06 +0000 2020,"Deaths from the China Virus are down 39%, while our great testing program continues to lead the World, by FAR! Why isn’t the Fake News reporting that Deaths are way down? It is only because they are, indeed, FAKE NEWS!"
Mon Jul 06 18:13:16 +0000 2020,"They name teams out of STRENGTH, not weakness, but now the Washington Redskins &amp; Cleveland Indians, two fabled sports franchises, look like they are going to be changing their names in order to be politically correct. Indians, like Elizabeth Warren, must be very angry right now!"
Mon Jul 06 13:39:13 +0000 2020,NASDAQ HITS ALL TIME HIGH!
Mon Jul 06 13:31:53 +0000 2020,"“This is no longer about peaceful protesting, this is about angry, violent, criminal mobs taking over certain (Democrat run) cities. It is a lack of political leadership in that city.” Chad Wolf @DHSgov @foxandfriends @NYGovCuomo @NYCMayor"
Mon Jul 06 13:17:46 +0000 2020,"New York City and Chicago play the Sanctuary City card, where criminals are protected. Perhaps they will have to start changing their ways (and thinking!)."
Mon Jul 06 13:06:54 +0000 2020,"RT @realDonaldTrump: New China Virus Cases up (because of massive testing), deaths are down, “low and steady”. The Fake News Media should r…"
