created_at,text
Wed Jul 01 01:05:37 +0000 2020,"8 years. we miss you more each year, and Bravo still talks about how you guys met every time I see him. #GranGranDolly #Clara ❤️ https://t.co/r1ApjzJjFS"
Fri Jun 26 23:22:16 +0000 2020,"yerrrrr @djaycameron , where we at with this my brother?! https://t.co/P70vdJCkyf"
Tue Jun 02 21:50:13 +0000 2020,VOTE. Ya ain’t got shit else to do man! Get yo ass off the couch and go vote!!! I don’t wanna hear another excuse!! Stop believing that your vote and voice don’t matter! This the illest way to protest...vote for the change you want!!! https://t.co/aqSq1D6r87
Tue Jun 02 06:11:19 +0000 2020,we ain’t buying shit!!! and we ain’t selling shit neither!! gang gang! #BLACKOUTTUESDAY AF!!! @FentyOfficial @fentybeauty @SavageXFenty 💪🏿💪🏿💪🏿 https://t.co/XNC44Tegj5
Sat May 30 03:36:28 +0000 2020,If intentional MURDER is the fit consequence for “drugs” or “resisting arrest”....then what’s the fit consequence for MURDER???! #GeorgeFloyd #AhmaudArbery #BreonnaTaylor https://t.co/iK9SYkaAGb
Thu May 14 23:03:11 +0000 2020,"the Jet Blacks are for life, but this Milky Way is sumn sexy #Coded @FentyOfficial https://t.co/l3FDKgTxTk"
Thu May 14 22:43:56 +0000 2020,introducing the #Coded sunnies from https://t.co/gPB5b00msm @FentyOfficial https://t.co/yDW9eT6Hc5
Tue May 12 20:45:53 +0000 2020,I mean...sheesh!!! #OffRecord @FentyOfficial https://t.co/3ETWhh4gOP
Mon May 11 18:23:46 +0000 2020,get into this bra tho...like I’m usually humble but not about lingerie 🤷🏿‍♀️💜 @SavageXFenty https://t.co/xJiSAfLYOL
Mon May 11 18:02:18 +0000 2020,"New Savage for de gal dem! Wanted to give y’all an extra drop cause we turned 2 years old and you guys have been incredible supporters, believed in our brand, appreciated what we stood for, and Ofcourse bought hella @SavageXFenty! 🥳 Thank you from all of us! 💜 #SavageXSummer https://t.co/B0kzz3pRZE"
Fri May 08 23:11:31 +0000 2020,#SHOTSANDSWATCHES @fentybeauty Cheeks Out. Cream Blush. 10 shades. Full video on https://t.co/sid1oil7DN https://t.co/odvYRC9S24
Fri May 08 22:46:53 +0000 2020,This #SHOTSANDSWATCHES game is no joke 😫😂 y’all just have to watch and see. We are showing you all 10 @fentybeauty sheer &amp; buildable Cheeks Out Cream Blush shades!! Full video up on https://t.co/sid1oil7DN https://t.co/AlP6CgX9fF
Thu May 07 22:55:20 +0000 2020,the office.... for the record these are the #OffRecord @FentyOfficial glasses hittin May 13th https://t.co/iKJlR5yZNc
Sat May 02 00:11:00 +0000 2020,https://t.co/GIq2RIHi0R ... #adamselman collab out now. https://t.co/upy5oc2zhB
Thu Apr 30 21:34:14 +0000 2020,Da girls like it Savage! So I had to bring #AdamSelman back for another collab! 🖤 Available May 1st only on https://t.co/GIq2RIHi0R #UXTRA https://t.co/TGqDmLztsL
Sun Apr 26 19:13:00 +0000 2020,It’s called a no makeup makeup lewk! 💁🏿‍♀️ I’m back with a new tutorial showin’ y’all how to keep it #FENTYFACEFRESH with my new @fentybeauty Cheeks Out Cream Blush &amp; Cream Bronzer. Head to https://t.co/sv55RJHd46 to see the full ting 😘 https://t.co/ltTuN0wiBN
Mon Apr 20 02:46:51 +0000 2020,2 new baddies on da block! #CREAMblush #CREAMbronzer @fentybeauty https://t.co/Gr3OPNUbFC out now. https://t.co/aZVQ4uVxmT
Mon Apr 20 00:33:39 +0000 2020,"I also created a new Face Shaping brush to help you apply effortlessly. Get both now at https://t.co/Gr3OPNUbFC, @Sephora, @HarveyNichols and #SephorainJCP."
Mon Apr 20 00:33:38 +0000 2020,"FT calls finna be next level! Get into this @fentybeauty cream blush and cream bronzer that just melt into your makeup to really look like skin, or for days like these where your bare skin could use a lil glow and fresh color 🥰😚 https://t.co/eVD0fjtZgv"
Wed Apr 15 21:23:21 +0000 2020,"RT @ClaraLionelFdn: Together with @jack’s #startsmall and JAY-Z’s @ShawnCarterSF, we are co-funding $6.2 million in COVID-19 response grant…"
Fri Apr 10 21:46:31 +0000 2020,pull up!!! New special guest announcement!!! Party starts in 15 mins and my boy @LILUZIVERT is performing live! Head over to @FentyOfficial IG ... see y’all soon! #FentySocialClub https://t.co/nxSes1hpqu
Thu Apr 09 23:55:48 +0000 2020,You already know I’m in there boo https://t.co/3QGkEpPqd7
Thu Apr 09 23:49:35 +0000 2020,Pull up to the @FentyOfficial IG live party tomorrow in celebration of our latest #fauxleather capsule! Hit the link for ya invitation! #FENTYsocialclub  https://t.co/neGiaTRphH https://t.co/nLTJKBYm74
Tue Mar 31 13:46:41 +0000 2020,#PullUp https://t.co/OiOB9NWwzh
Mon Mar 30 20:39:56 +0000 2020,TRUTH. @BritishVogue #StevenKlein @Edward_Enninful https://t.co/mMYh5W9X0P
Mon Mar 30 20:34:17 +0000 2020,"Wearing: @Burberry by #RiccardoTisci &amp; a @SJMillinery durag
📸: #StevenKlein 
Styling: @Edward_Enninful
💇🏿‍♀️: @YusefHairNYC &amp; #NaphiisBeautifulHair
💄: @IsamayaFfrench @FentyBeauty 
💅🏿: #MariaSalandra 
W/ thanks: @JillDemling"
Mon Mar 30 20:34:16 +0000 2020,"Gang back in da Stu!! @Edward_Enninful and I are back at it again with #StevenKlein for the May 2020 cover of @BritishVogue 🥰✊🏿 available Friday, April 3rd! https://t.co/XIgob9C6qQ"
Fri Mar 27 23:34:39 +0000 2020,🙏🏿 @ClaraLionelFdn https://t.co/qqKeWeScFj
Fri Mar 27 04:20:48 +0000 2020,Believe it!! @partynextdoor album live!!! https://t.co/gelGmmEZFy https://t.co/eNeI6PluOZ
Sun Feb 23 20:29:52 +0000 2020,Lol 😂 @SonitaAlex https://t.co/SHpensXSXi
Wed Feb 12 23:08:15 +0000 2020,"Be mine, bih. #XXSavageX https://t.co/jYRjqH1dgZ"
Tue Feb 11 08:28:57 +0000 2020,. https://t.co/7suv9m8V2K
Fri Feb 07 15:54:57 +0000 2020,"when y’all was asleep lastnight, I was out interacting with my @FentyOfficial digital windows at Bergdorf Goodman 😂! If you happen to be in NYC today do a lil drive by before it ends tonight! https://t.co/MDmmWSSFxG"
Wed Feb 05 19:43:28 +0000 2020,super honored to be receiving the @naacpimageaward President’s Award in recognition of special achievement and distinguished public service ❤️🥰 🙏🏿✊🏿thank you!!!! You can watch the show live on Feb 22 at 8/7c on @BET https://t.co/B5imyDGxCa
Mon Jan 13 00:46:02 +0000 2020,The @SavageXFenty Valentine collection designed by Adam Selman available now on https://t.co/8UBMlIOz52 https://t.co/oxWEid32nT
Sun Jan 12 22:36:11 +0000 2020,"New Year, New Valentine’s gift! Get ready to do the most in 2020 with these sexy @SavageXFenty styles. We have TWO very special boxes curated and designed by one of my faves and first collaborator for #SavageX, Adam Selman 🥰!!!! Head to https://t.co/EFuG1IFRBa NOW to grab yours https://t.co/66MFzKu1bT"
Tue Jan 07 21:10:41 +0000 2020,"Ya done know that @fentybeauty was coming to dominate the mascara game too!! #FULLFRONTALMASCARA with a brush that lifts lashes on the fat side, and defines &amp; curls on the flat side! Get it on January 16th at https://t.co/Gr3OPNUbFC @sephora @bootsuk @harveynichols #SephorainJCP! https://t.co/v2YXoSL9Jx"
Mon Jan 06 21:59:50 +0000 2020,first selfie of the year doe. #2020 https://t.co/TJxarwWeXI
Mon Jan 06 16:49:56 +0000 2020,devastating. 😢 #Australia https://t.co/VB2cziPXux
Fri Dec 20 18:02:44 +0000 2019,A queen. A force. A powerhouse beauty that brought her strength to the @savagexfenty stage this year inspiring so many across the globe. Rest In Power sis ✊🏿😢 @mama_cax https://t.co/Nq43DoJZb9
Mon Dec 09 19:02:10 +0000 2019,"ghetto grinch.

#ThisShitIsHeavy ....I teamed up with @TheHaasBrothers to create this stand inspired by my tatted hands to hold it up! The FENTY X PHAIDON edition of my book is available exclusively at https://t.co/XIX4c7zPdI 🎁 @Phaidon https://t.co/mlN1vR5LtA"
Sat Dec 07 05:10:57 +0000 2019,fairy bomb shimmer powder. #TROPHYWIFE out now on https://t.co/Gr3OPNUbFC @fentybeauty https://t.co/z7zpLAFIOl
Sat Dec 07 05:06:26 +0000 2019,"gloss bomb. 
#TROPHYWIFELIFE out now in stores at @Sephora @HarveyNichols @BootsUK https://t.co/Y8JSGSiLfU"
Wed Dec 04 23:03:17 +0000 2019,"Big ups to my gusband Jahleel. Thank you for being a true rider! Look at us bro!!! And thank you @asvpxrocky for representing us on the carpet and always being so supportive of @FentyOfficial !! And to the epic duo that presented, thank you! @tylerthecreator and @janetjackson ! https://t.co/QljxwbGxR4"
Wed Dec 04 21:32:49 +0000 2019,"so honored and proud to be the recipient of a British Fashion Award in the category of Urban Luxe! shout out to my incredible @FentyOfficial team and my @LVMH partners! It’s been less than 7 months and we did it! 💪🏿 gang gang! @BFC thank you, I’ll never forget this moment! https://t.co/7kaysbKWNt"
Mon Dec 02 19:09:07 +0000 2019,Have you seen what’s in between the covers? Grab your copy of #therihannabook to find out! There’s an exclusive FENTY X PHAIDON edition available now only at https://t.co/XIX4c7RqCi! https://t.co/1taBv5c3ty
Sun Dec 01 18:14:11 +0000 2019,home. 🇧🇧 https://t.co/Stmw3yt0CL
Sat Nov 30 14:48:37 +0000 2019,just wanted to show y’all my coat...again. @FentyOfficial https://t.co/sj4fxKhtUi
Thu Nov 28 03:44:10 +0000 2019,new @FentyOfficial drip #PUFFERBOOT https://t.co/GSpWS6tXxE @Selfridges https://t.co/ON4XCILdMK
Thu Nov 28 02:20:29 +0000 2019,fun times in @FentyOfficial with a Fenty by my side https://t.co/Lfz3hwLHXX
Fri Nov 22 02:23:10 +0000 2019,Welcome to the family sis! Honored to have you!! @Normani https://t.co/DzG3JO6Osq
Wed Nov 20 23:28:26 +0000 2019,#trouble on https://t.co/GSpWS6tXxE https://t.co/AvptZnPl6p
Wed Nov 20 21:25:01 +0000 2019,the #trouble sunglasses on https://t.co/GSpWS6tXxE now https://t.co/zL0HoAWFfg
