created_at,text
Sun Jul 26 17:49:24 +0000 2020,"RT @MichelleObama: We are just 100 Days away from the 2020 election. And the truth is, this election could not be more important for the fu…"
Wed Jul 22 21:30:33 +0000 2020,RT @Forbes: Selena Gomez’s beauty brand Rare Beauty pledged to raise $100 million for mental health https://t.co/EarcdKyAyp https://t.co/H4…
Wed Jul 22 19:23:59 +0000 2020,"RT @maxPOP: hbd @selenagomez! 💜 wishing you a sweet welcome to the @hbomax fam, and can’t wait to binge #SelenaAndChef https://t.co/LvvkNQx…"
Tue Jul 21 16:22:19 +0000 2020,RT @Iamtrevordaniel: Teaming up with @SelenaGomez and @vertigoislive to celebrate Past Life. Enter here to win some signed merch by both of…
Fri Jul 17 15:05:27 +0000 2020,@SelenaHQ2 Wow you guys continue to amaze me!! Thank you so much for always supporting me. Love you all 💕
Thu Jul 16 21:04:20 +0000 2020,Sometimes technology and art are the perfect match. https://t.co/5py9BlWFpx
Thu Jul 16 21:04:05 +0000 2020,"Check out how we shot the Past Life music video while still social distancing. This thing is called the Scan Truck. I stepped into it on my own and it scanned my face up close, which is why the music video looks so real! https://t.co/QJxj1hthrQ"
Tue Jul 14 16:02:02 +0000 2020,The official video for Past Life is out now! What do you guys think? 👁 https://t.co/82onrTrWCR @iamtrevordaniel https://t.co/JjqWqvHDTX
Mon Jul 13 19:20:05 +0000 2020,RT @Iamtrevordaniel: The official video for Past Life premieres Tuesday at 9 am PT/ 12 pm ET ✨ @selenagomez https://t.co/ejna1Sj9pX
Mon Jul 13 19:00:45 +0000 2020,The official video for Past Life premieres Tuesday at 9 am PT/ 12 pm ET 👁 https://t.co/1CX0y9Ep0m @Iamtrevordaniel https://t.co/rFl5uZOYYK
Fri Jul 10 19:42:47 +0000 2020,RT @Iamtrevordaniel: Coming soon. 👀@selenagomez https://t.co/0pLeaEReKe
Fri Jul 10 19:00:54 +0000 2020,Coming soon. 👁 @iamtrevordaniel https://t.co/suJlwpNtPf
Fri Jul 10 16:49:19 +0000 2020,RT @BrokenHeartsGal: Repost from @nataliekrinsky: “ten years ago I wrote a script about heartbreak. this summer a group of people came toge…
Thu Jul 09 00:17:47 +0000 2020,RT @sameoldskan: Hi Selena! Past Life really brought us out together so we made a little clip for you to celebrate the release of this amaz…
Sat Jul 04 01:02:37 +0000 2020,@selenaswiftb99 @SelenaFanClub I love all of YOU guys ❤️
