created_at,text
Thu Jul 23 19:05:27 +0000 2020,"Shak se une al reto del @allinchallenge y regaló la chaqueta dorada que lució en el show de la Super Bowl para recaudar fondos para organizaciones que combaten la inseguridad alimentaria. 
Para pujar: 📌 https://t.co/REj7TumDVI. 
Les compartimos un video del como se hizo!
ShakHQ https://t.co/zewV3k7vQP"
Thu Jul 23 19:00:36 +0000 2020,"Shak is auctioning her custom-made gold jacket - which she wore at the Super Bowl HT Show - for the @allinchallenge, at 
📌 https://t.co/REj7TumDVI. 
Watch our exclusive behind-the-scenes film with the incredible Peter Dundas, who designed Shak's Super Bowl outfits.
ShakHQ https://t.co/7lmMzTUbC7"
Mon Jul 20 21:56:23 +0000 2020,"RT @pahowho: . @shakira urged the world not to forget Latin America and Africa during COVID-19.

“Latin America 🌎 is now the hardest-hit re…"
Mon Jul 20 14:42:51 +0000 2020,"Shak’s accepted the #ALLINCHALLENGE by donating her custom-made gold jacket - worn at the Super Bowl LIV HT Show - to the @allinchallenge auction! The winning bidder also gets to meet Shak at a future show! All proceeds to battle food insecurity. 
📌https://t.co/REj7TumDVI
ShakHQ https://t.co/RxqYHHvFDS"
Mon Jul 20 14:37:18 +0000 2020,RT @GlblCtzn: What makes miracles happen? Just ask @shakira 👇 https://t.co/04rbVLClCB
Sat Jul 11 12:06:35 +0000 2020,"I say, get a new hobby in your life!! Pon un nuevo hobby en tu vida!! https://t.co/MDPJJk6Qx9"
Fri Jul 10 21:51:36 +0000 2020,"RT @MTVNEWS: .@shakira unleashed her inner #SheWolf on the world when she dropped the animalistic anthem 11 years ago today. In 2019, she t…"
Fri Jul 10 15:48:55 +0000 2020,You guys blow me away with your talent! Beautiful drawing by @dendareloaded. https://t.co/V5ZhoySr73
Thu Jul 09 13:31:14 +0000 2020,"RT @UNICEF: Starting today, the jewellery brand @PANDORA_Corp will double the love, matching every donation to UNICEF’s COVID-19 response,…"
Wed Jul 08 16:46:21 +0000 2020,RT @SonyMusicLatin: ¡Felicidades @shakira por estar nominada a los @premiosjuventud! 🎶🙌 #PremiosJuventud https://t.co/nWiOfsqd46 https://t.…
Tue Jul 07 13:37:38 +0000 2020,"Se necesitan más empresas con este tipo de conciencia. 
Nuestro mundo sería más equitativo y equilibrado si todos los empresarios y profesionales confeccionaran proyectos sociales para cuidar de su comunidad. https://t.co/s8CgaOQEFh"
Thu Jul 02 12:52:49 +0000 2020,"RT @shakirastuff_: YOUTUBE | The Spanish version of ""Rabiosa"" has reached 100 MILLION views. Including her Super Bowl performance, this is…"
Tue Jun 30 13:57:39 +0000 2020,"RT @fpiesdescalzos: Hoy comenzamos semana con nuestra querida @Shakira. 
¡Escúchala con atención! 
Recuerda que cuidarnos es responsabilida…"
Tue Jun 30 13:05:44 +0000 2020,"RT @elheraldoco: #Opinión | “La fiesta y la rumba debe estar en el corazón y la norma de prevención en nuestra conciencia”, comenta William…"
Tue Jun 30 13:04:41 +0000 2020,RT @ricarospina: Mensaje de @shakira a los barranquilleros y a los atlanticenses. Vía @UltimaHoraBLU @BluRadioCo @BLUCaribe https://t.co/eq…
