created_at,text
Mon Jul 27 00:38:24 +0000 2020,It was great catching up with you my friend. https://t.co/nqyUlSkyeu
Sat Jul 25 17:02:57 +0000 2020,"@BonitaZarrillo Had an amazing time, thank you for all you do to fight for your community @BonitaZarrillo!"
Sat Jul 25 17:02:03 +0000 2020,RT @BonitaZarrillo: A big shout out to @theJagmeetSingh for spending his Friday night hearing from the residents of Port Moody-Coquitlam. C…
Sat Jul 25 17:01:03 +0000 2020,💯 @GurratanSingh https://t.co/oeLPvplxVe
Sat Jul 25 13:43:57 +0000 2020,"Deux faits sur les joueurs et l'organisation de @Raptors :

1) Les champions du monde et
2) Les champions des gens."
Sat Jul 25 13:40:54 +0000 2020,"Two facts about the @Raptors players and organization: 

1) World Champs &amp;
2) The People's Champs.

#BlackLivesMatter #RTZ https://t.co/Octc63GdM2"
Sat Jul 25 00:50:09 +0000 2020,"Je comprends votre douleur et les injustices que vous avez subies - je suis avec vous dans votre quête de justice.

L'un des premiers pas sur la voie de la justice est la reconnaissance du génocide perpétré par le Sri Lanka contre le peuple tamoul.

https://t.co/HXBcW6MjU3"
Sat Jul 25 00:50:09 +0000 2020,"Je me souviens du Juillet noir.

37 ans après que des représentants de l'État sri-lankais ont pris pour cible les Tamouls par des actes de violence génocidaire.

37 ans de résilience démontrée par les survivant-es."
Sat Jul 25 00:39:03 +0000 2020,"I understand your pain and the injustices you have endured - I stand with you in your pursuit of justice.

One of the first steps on the path to justice is acknowledging the genocide perpetrated by Sri Lanka against the Tamil people.

https://t.co/EFqmPLtJLV"
Sat Jul 25 00:39:03 +0000 2020,"I remember Black July.

37 years since Sri Lankan state officials targeted Tamil with acts of genocidal violence.

37 years of resilience exhibited by survivors."
Fri Jul 24 23:43:46 +0000 2020,"À chaque étape, les libéraux ont essayé de faire le moins possible.

Nous les avons poussés à chaque étape à en faire plus pour les gens.

Et nous ne nous arrêterons pas.

Nous continuerons à forcer les libéraux à faire ce qu’il faut afin que personne ne soit laissé pour compte. https://t.co/LjxD76YQMq"
Fri Jul 24 23:41:21 +0000 2020,"At every step of the way, the Liberal government tried to do the least possible.

We’ve pushed them every step of the way to do more for people.

And we won’t stop.

We'll keep forcing the Liberals to do what's right for families so that no one is left behind. https://t.co/8HIsf97L2n"
Fri Jul 24 19:52:39 +0000 2020,"Des gens comme la mairesse Toni Boot sont une source d'inspiration

@ToniJBoot a pris position pour refuser à la haine et au racisme tout espace dans sa communauté

Construire un monde sans haine signifie que nous devons le remettre en question chaque fois qu'il se présente"
Fri Jul 24 19:49:42 +0000 2020,"People like Mayor Toni Boot are an inspiration

@ToniJBoot took a stand to deny hate and racism any space in her community

Building a world free from hate means we must challenge it every time it rears its head

https://t.co/3u3nsFUnj5"
